BRD-A04706586,CCCC(=O)OC1C2OP(O)(=O)OCC2OC1[n]1c[n]c2c(NC(=O)CCC)[n]c[n]c12
BRD-A04756508,CC(=O)O[C@]1(CCC2C3CCC4=C/C(/CCC4C3CC[C@]12CC)=N/O)C#C
BRD-A05186015,CC(C)(C)NC(C)C(=O)c1cccc(Cl)c1
BRD-A05334458,CC(O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O
BRD-A05352148,CC(C)[N+]1(C)C2CC(CC1CC2)OC(=O)C(CO)c1ccccc1
BRD-A05457250,COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1C(F)(F)F)[N+]([O-])=O
BRD-A05523972,CCOC(=O)N1CSCC1C(O)=O
BRD-A05565054,CCC1CCCCN1C(=O)[n]1cc([n][n]1)C(O)(c1ccccc1)c1ccccc1
BRD-A05680309,CC(C)C(NC(=O)C(C)NC)C(=O)N1CCCC1C(=O)NC1CCCc2ccccc21
BRD-A05821830,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C
BRD-A05831822,CC(=O)Nc1ccc(cc1)OCc1cc(ccc1OC)C1Nc2ccccc2C(=O)N1
BRD-A06131576,CC(C)C1CCC(C)C(C(O)c2ccc(cc2)-c2ccccc2)C1=O
BRD-A06276885,OC12Cc3c(C4Oc5c6c(CC1N(CC1CC1)CCC264)ccc5O)[n](Cc1ccccc1)c1ccccc13
BRD-A06304526,"CC1=CC(C)C(O)C(CC(C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)C(C)=CC=CC(OC)C1OC(N)=O)C2=O)OC |c:1,t:28,30|"
BRD-A06352418,CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1
BRD-A06352508,O=C1NC(=O)c2c1c1c3c4c2c2ccccc2[n]4C2CCC(O2)[n]3c2ccccc21
BRD-A06390036,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1cc[n]c2ccc(cc12)OC
BRD-A06641369,CC(C)Oc1cc(ccc1)C(=O)C1CN(Cc2c[n][n](c2)C(C)C)CCC1
BRD-A06664848,CC(Sc1[n]c2cc(Cl)ccc2[s]1)C(=O)Nc1cc(ccc1)S(=O)(=O)N1CCOCC1
BRD-A06726973,CCCC(=O)O[C@H]1[C@H]2OP(O)(=O)OC[C@@H]2OC1[n]1c[n]c2c1[n]c(NC(=O)CCC)[nH]c2=O
BRD-A06784547,CC1NC(=C(C(C#Cc2ccccc2)C=1C(=O)OCC)C(=O)OCc1ccc(cc1)[N+]([O-])=O)c1ccccc1
BRD-A06909528,O=C1N(Cc2ccccc2)c2ccccc2C21NNc1ccccc1O2
BRD-A06916187,OC(=O)CCCCC(CCSCc1ccccc1)SCc1ccccc1
BRD-A06929388,CCN(CC(C(=O)c1ccc(F)cc1)c1ccccc1)CC
BRD-A06935312,C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)C2[C@H](O)C[C@@H]2[C@]1(C)C[C@H](OC(C)=O)\C2=C(/CCC=C(C)C)C(O)=O
BRD-A07000685,C[C@]12CCC(=O)C=C1CCC1C2[C@@H](O)C[C@@]2(C)C1CC[C@]2(O)C(=O)COC(=O)CCC(O)=O
BRD-A07029265,CC(C)[N+]1(C)[C@H]2C[C@H](CC1CC2)OC(=O)C(CO)c1ccccc1
BRD-A07395371,CC(C)NCC(O)COc1ccc(CCC(=O)OC)cc1
BRD-A07440155,CC(CCc1ccccc1)NCC(O)c1cc(c(O)cc1)C(N)=O
BRD-A07563059,Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1
BRD-A07614565,CCOc1ccc(cc1)C(Nc1c[n]ccc1)c1cc(Cl)c2ccc[n]c2c1O
BRD-A07704283,CC(C)c1ccc2Sc3cc(F)ccc3CC(N3CCN(CCO)CC3)c2c1
BRD-A07765530,CNCC(O)c1cc(O)c(O)cc1
BRD-A07780951,CC(C)NCC(O)c1cc(O)cc(O)c1
BRD-A07815743,OCC1OC(C(O)C(O)C1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O
BRD-A07824748,O=C1CC(Oc2ccccc21)c1ccccc1
BRD-A07875874,COCCOC(=O)C1C(C(C(=O)OCC=Cc2ccccc2)=C(C)NC=1C)c1cc(ccc1)[N+]([O-])=O
BRD-A07893380,C=CC(N)CCC(O)=O
BRD-A07932845,CN1CCN(CC1)C1Cc2ccccc2Sc2ccc(cc21)SC
BRD-A07986123,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CC=C2n1cnc2ccccc12
BRD-A08003242,Cc1c2oc3c(c2c(O)c(C(=O)C(C)CC)c1O)c(O)c(C(=O)C(C)CC)c(O)c3C
BRD-A08187463,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1
BRD-A08255417,CC(C)c1c(CN(C)C(C)Cc2ccccc2)[n](C)[n](c1=O)-c1ccccc1
BRD-A08545410,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C2C(=O)c2c(O)cccc12
BRD-A08610364,CCOC(=O)CCCC(=O)Nc1[n]c[n]c2Oc3ccc4ccccc4c3C(c3ccccc3)c12
BRD-A08658758,CC1CC(=O)NN=C1c1cc(F)c(F)cc1
BRD-A08660406,CC(=O)N(CC(O)CN(c1c(I)c(c(I)c(c1I)C(=O)NCC(O)CO)C(=O)NCC(O)CO)C(C)=O)c1c(I)c(c(I)c(c1I)C(=O)NCC(O)CO)C(=O)NCC(O)CO
BRD-A08662020,CC(C)C(NC(=O)C(C)NC)C(=O)N1CCCC1C(=O)Nc1cccc2[n]cccc12
BRD-A08709697,CC(C)C(O)([C@@H](C)OC)C(=O)OCC1=CCN2CC[C@H](O)[C@H]21
BRD-A08778300,CN(C[C@@H]1Oc2[n]cc(cc2C(=O)N(C[C@@H]1C)[C@H](C)CO)C#CC(O)CCC)C(=O)Nc1cc2OCOc2cc1
BRD-A08877921,COC1=CC23CCCN2CCc2cc4OCOc4cc2C3C1O
BRD-A09056319,COc1cc2c(N)[n]c([n]c2cc1OC)N(C)CCCNC(=O)C1CCCO1
BRD-A09062839,CCC(C)(CN(C)C)OC(=O)c1ccccc1
BRD-A09094913,O=C1CC2OCC=C3CN4CC[C@]56C([C@H]2[C@H]3CC54)N1c1ccccc61
BRD-A09161221,CC1(C)OC(=O)C[C@@H](OC(C)=O)[C@@]2(C)C1CC(=O)[C@]1(C)C2CC[C@@]2(C)[C@@H](OC(=O)[C@H]3O[C@]213)c1cocc1
BRD-A09164687,Cc1cc(C)c(OCC(O)CNC(C)(C)C)c(C)c1
BRD-A09186529,OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)/C=C/c1cccc[n]1
BRD-A09349126,C[C@]12CCC3[C@H]4CCC(=O)C=C4CCC3C1CC[C@]2(C#C)OC(C)=O
BRD-A09467419,CCN(CCCCOC(=O)c1cc(OC)c(cc1)OC)C(C)Cc1ccc(cc1)OC
BRD-A09472452,O=C(NCC1CCCCN1)c1cc(ccc1OCC(F)(F)F)OCC(F)(F)F
BRD-A09495397,CN1CCc2cc3OCOc3cc2[C@H]1C1OC(=O)c2c3OCOc3ccc21
BRD-A09533288,CN(CCc1cc(OC)c(cc1)OC)CCCC(C#N)(C(C)C)c1cc(OC)c(cc1)OC
BRD-A09539288,CN1[C@@H]2C[C@H](CC1CC2)OC(=O)C(O)c1ccccc1
BRD-A09719808,CCC(OC(=O)c1cc(c(cc1)S(C)(=O)=O)[N+]([O-])=O)C(=O)NC1C2CC3CC(CC1C3)C2
BRD-A09722536,O=P1(NCCCO1)N(CCCl)CCCl
BRD-A09749088,C[C@]12CCC[C@](C)([C@@H]1CCC1=C[C@@](C)(C=C)C(O)C[C@H]21)C(O)=O
BRD-A09828896,Oc1c(Cl)c2CCNCC(c2cc1O)c1ccccc1
BRD-A09925278,CCNCC(O)c1cc(O)ccc1
BRD-A09984573,CSC1SC(NC(=O)C=1C#N)c1ccc(Cl)cc1
BRD-A10012892,C[C@@H]1CCN([C@@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)c1cccc2CC(C)CNc12
BRD-A10039652,CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(cn3)C(F)(F)F)c2)C(=O)O1
BRD-A10070317,CC(C)NCC(O)COc1cccc2ccccc12
BRD-A10188456,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BRD-A10303790,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21
BRD-A10330754,S=C(Nc1c[n][n](Cc2ccc(Cl)cc2)c1)NCC1CCCO1
BRD-A10355991,NC1(CCCCC1=O)c1ccccc1Cl
BRD-A10420615,CC(=O)C1C(=O)[C@@H]2[C@@H]3[C@@H](Cc4cccc5[nH]cc3c54)C(C)(C)N2C1=O
BRD-A10523515,CC1NC(=O)CC(C=1C(=O)Nc1cc2c[n][nH]c2cc1F)c1ccc(cc1)C(F)(F)F
BRD-A10606614,CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21
BRD-A10662413,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
BRD-A10715913,CCN1CC(CNC(=O)c2cc(ccc2OC)S(N)(=O)=O)CC1
BRD-A10903566,CC[n]1cc[n]c1CC1COc2ccccc2O1
BRD-A10967948,CN1C2CCCC1CC(C2)NC(=O)c1nn(C)c2ccccc12
BRD-A10969569,COc1c2OCOc2cc2c1CN1CC(O)C32C=C[C@@H](CC31)OC
BRD-A10977446,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c21
BRD-A11007541,O=C1/C(=C\c2ccccc2)/C(NC2CCCCC2)c2ccccc21
BRD-A11087911,Cc1o[n]c(C)c1-c1cc2c(NC(C)c3ccco3)[n]c[n]c2cc1
BRD-A11095214,O=C(c1ccccc1)N(c1[n]c[n]c2Oc3ccc4ccccc4c3C(c12)c1ccccc1)C(=O)c1ccccc1
BRD-A11132253,NC(=O)c1c[n+](ccc1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)[n]2c[n]c3c2[n]c[n]c3N)[C@@H](O)[C@H]1O
BRD-A11135865,OC12Cc3c([nH]c4C5Oc6c7c(CC8N(CC9CC9)CCC75C8(O)Cc34)ccc6O)C3Oc4c5c(CC1N(CC1CC1)CCC253)ccc4O
BRD-A11170096,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C21
BRD-A11263757,Nc1[n]c(=O)[n](c[n]1)C1O[C@H](CO)[C@@H](O)[C@H]1O
BRD-A11319535,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC12C
BRD-A11483079,CC(C)C1COc2cc3oc(=O)ccc3cc2O1
BRD-A11512624,CCOC(=O)CC(=O)Nc1[n]c[n]c2Oc3ccc4ccccc4c3C(c21)c1ccccc1
BRD-A11605036,CC(=O)NC1CCc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21
BRD-A11609859,CN1CC2Cc3cc4ccccc4[n]c3CC2(CC1)c1cc(O)ccc1
BRD-A11678676,CC(=O)O[C@@H]1C[C@@]2(C)C(CCC2=O)C2=C1[C@@]1(C)[C@@H](COC)OC(=O)c3coc(c13)C2=O
BRD-A11702965,C[C@@H](O)[C@H](O)C(=O)[C@@H](OC)[C@H]1Cc2cc3cc(OC4CC(OC5CC(O)C(OC)C(C)O5)C(OC(C)=O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(C)C(C)O3)C(O)C(C)O2)C(O)C(C)O1
BRD-A11706664,CN1N=C(N)c2c[n]([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c3[n]c[n]c1c23
BRD-A11776908,C=CCOC(C[n]1c[n]cc1)c1ccc(Cl)cc1Cl
BRD-A11813248,CN(CC(O)COc1ccc(cc1)NS(C)(=O)=O)CCc1cc(Cl)c(Cl)cc1
BRD-A11929187,Cc1[n]c2[s]c3CC(C)CCc3c2c([n]1)N1CCN(CC1)C(=O)c1ccco1
BRD-A11968133,C[n]1c2c(c[n][n](Cc3cccc(c3)OC)c2=O)c2[s]c(cc12)S(C)=O
BRD-A11990600,OC1N=C(c2cc(Cl)ccc2NC1=O)c1ccccc1Cl
BRD-A12016240,CN1C2CC(CC1CC2)NC(=O)c1[n][n](C)c2ccccc21
BRD-A12077521,CO\N=C(\C(=O)NC1C2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C(O)=O)c1csc(N)n1
BRD-A12083771,Cc1c(CN2CCCC(C2)C(=O)c2cc(ccc2)OC(C)C)c[n][n]1CCC
BRD-A12230535,COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1
BRD-A12237696,NC(CCCNC(N)=O)C(O)=O
BRD-A12560204,COC(=O)C1C(C(C(=O)OCC)C(C)=NC=1C)c1cc(ccc1)[N+]([O-])=O
BRD-A12633378,Cc1cc(C)c(NC(=O)C2CC3CC2CC3)c(C)c1
BRD-A12643502,Oc1ccc[n]c1NC(=O)CCC1COc2ccccc2O1
BRD-A12896037,COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c1cc(Cl)c(N)cc1OC
BRD-A12994259,Nc1cccc2C(=O)N(C3CCC(=O)NC3=O)C(=O)c12
BRD-A13021932,CC1=C(C=C(C(=C1)OC)C(=O)N2CCN(CC2)C(=O)C)SC3=CN=C(S3)NC(=O)C4=CC=C(C=C4)CNC(C)C(C)(C)C
BRD-A13084692,Cc1c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c(O)c1C
BRD-A13122391,C[C@]12CCC3C(=O)OCC=3C1C[C@@H]1O[C@]31[C@H](O)[C@]1(O[C@H]1[C@@H]1O[C@]231)C(C)C
BRD-A13133631,CC(=O)[C@@]1(O)CCC2C3C[C@H](C)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)C[C@]12C
BRD-A13188892,COc1cc2[n]c([n]c(N)c2cc1OC)N1CCN(CC1)C(=O)C1COc2ccccc2O1
BRD-A13195221,CCN(CC)c1ccc(cc1)C1Nc2ccccc2NC2CC(CC(=O)C=21)c1ccccc1
BRD-A13254067,C[C@@H](CC(O)[C@H]1OC2CC[C@@]3(CCC(O3)\C=C\[C@@H](C)[C@@H]3CC(C)=C[C@@]4(O[C@H](C[C@@](C)(O)C(O)=O)CCC4O)O3)OC2[C@H](O)C1=C)C1O[C@@]2(CCCCO2)CC[C@H]1C
BRD-A13346522,CC[n]1cc(CN2CCCC(C2)C(=O)c2cc(ccc2)C(F)(F)F)c[n]1
BRD-A13367427,CC1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(=O)OC3OC(CO)C(OC4OCC(OC5OC(CO)C(O)C(O)C5O)C(OC5OCC(O)C(O)C5O)C4O)C(O)C3O)C2(C)C)C(O)C(O)C1OC1OCC(O)C(O)C1O
BRD-A13461302,CC1CC2(O)CC(O)C34OC3c3c(cccc3O)C(=O)C4(O)C2C(=O)C1
BRD-A13650332,Cc1o[n]c(c1C(=O)N[C@H]1[C@H]2SC(C)(C)C(C(O)=O)N2C1=O)-c1c(F)cccc1Cl
BRD-A13711138,C=CC[N@+]12CC(=CCO)[C@H]3C[C@@H]1[C@]1(CC2)C2C3=CN3C4C(=CN2c2ccccc12)[C@H]1C[C@H]2[C@@]4(CC[N@+]2(CC1=CCO)CC=C)c1ccccc31
BRD-A13807286,CCOC(=O)C1C(C(C#N)C(=O)OCC)c2cc(Br)ccc2OC=1N
BRD-A13914662,COc1cc2CCN(Cc3ccc(o3)[N+]([O-])=O)C(c3ccc[s]3)c2cc1O
BRD-A13946108,CC1/C(=C/c2ccc(cc2)S(C)=O)/c2ccc(F)cc2C=1CC(O)=O
