"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFNA5",1066.50125728587,1.17676477565763,0.320826003312807,3.66792206213497,0.000244529692148538,0.0211863033274336
"RPL10A",6851.03942892448,-1.36452233469347,0.372461336995459,-3.66352745683804,0.000248765536353778,0.0214160190404946
"MGST3",1106.70601673145,-1.28959463681112,0.352335485142781,-3.66013271779458,0.000252084647379553,0.0215644056581142
"DDIT4",2329.91515589381,-1.43972741948107,0.393800001829693,-3.6559863199384,0.00025619501736365,0.0217781877653276
"BIRC6",607.231405915516,1.26217055466132,0.345500761052701,3.65316287818188,0.000259029804647521,0.0218815427475993
"ZNF611",64.322045915736,1.64805911541686,0.451540638119293,3.64985778972448,0.000262385533257151,0.0219227669840071
"C6orf141",849.331345559311,1.1708859276009,0.320974589248006,3.64790848504271,0.000264383768747644,0.0219227669840071
"ZSWIM6",459.807748162765,1.54843050171519,0.424292261593065,3.64944318310542,0.000262809357921778,0.0219227669840071
"ALDH2",418.597578646352,-0.867851468890053,0.238147120583317,-3.64418207855858,0.000268243479712126,0.0219732052835702
"SIL1",696.39261700217,0.947489316481318,0.259999229242374,3.64420048183319,0.000268224288979248,0.0219732052835702
"EVI5",355.890707167171,1.02385831228564,0.281234336605679,3.64058786221828,0.000272016260633138,0.0220341520294673
"SDK1",469.403897506371,1.27970095670635,0.351864887242859,3.63691008424802,0.000275928197200556,0.0220341520294673
"BIK",297.032163820595,1.08638521891502,0.298919706283461,3.63437135818949,0.000278659251934387,0.0220341520294673
"ARL3",462.477251519995,-0.826815084711869,0.227308292428148,-3.63741716538223,0.000275385714899921,0.0220341520294673
"SRSF4",568.539012776802,1.03443993055296,0.284333067015574,3.63812743065969,0.000274627543813511,0.0220341520294673
"FHIT",457.349346459405,1.37574806542769,0.378548672533071,3.63426995060324,0.000278768866309478,0.0220341520294673
"CYB561A3",284.836883691701,-0.992369747264513,0.273343146193927,-3.63049068938595,0.000282882909683151,0.022100840504494
"LOC105371046",38.6803109137851,2.39272572889138,0.658834230489942,3.63175684893001,0.000281498293240244,0.022100840504494
"TEAD1",1103.21230983599,1.12213837038393,0.309521108959067,3.62540175097501,0.00028851257169323,0.0224111259712971
